0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	15	0	0	0	34.64	0	48.5	0	0	0	0	0	0	0	0	0	0	0
21	15	0	21	0	0	0	0	0	0	46.4	0	0	0	0	0	0	0	0	0
0	0	21	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	13	0	7.4	0	0	0	0	0	20	0	0	0	0	0	0	0	0
0	0	0	0	7.4	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0
0	34.64	0	0	0	0	0	12.5	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	12.5	0	9.6	0	0	0	0	0	0	9	0	0	0	0
0	48.5	0	0	0	0	0	9.6	0	12	0	0	0	14	0	0	0	0	0	0
0	0	0	0	0	0	0	0	12	0	3.6	0	0	12.2	0	0	0	0	0	0
0	0	46.4	0	0	0	0	0	0	3.6	0	13.6	0	0	0	0	0	0	0	0
0	0	0	0	20	0	0	0	0	0	13.6	0	10.4	0	0	0	0	25.7	0	0
0	0	0	0	0	13	0	0	0	0	0	10.4	0	0	25.7	0	0	0	0	0
0	0	0	0	0	0	0	0	14	12.2	0	0	0	0	0	0	10.6	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	25.7	0	0	0	0	0	0	0
0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	11.6	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	10.6	0	11.6	0	23.7	0	0
0	0	0	0	0	0	0	0	0	0	0	25.7	0	0	0	0	23.7	0	12	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	15.4
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.4	0
